t,totalmass,massrate
12.21,15.7155817055329,0
12.22,15.7155817055329,0
12.23,15.7155817055329,0
12.24,15.7155817055329,0
12.25,15.7155817055329,0
12.26,15.7155817055329,0
12.27,15.7155817055329,0
12.28,15.7155817055329,0
12.29,15.7155817055329,0
12.3,15.7253162126945,0.973450716160708
12.31,15.7316996876923,0.638347499777951
12.32,15.7340536671503,0.235397945793287
12.33,15.7411156055241,0.70619383737986
12.34,15.7500931094933,0.897750396925034
12.35,15.7661729166943,1.6079807200978
12.36,15.7750718808472,0.889896415291268
12.37,15.7774258603051,0.235397945793287
12.38,15.8115773902194,3.4151529914232
12.39,15.8347197959475,2.31424057281094
12.4,15.867199579691,3.24797837435032
12.41,15.8776125502286,1.04129705376262
12.42,15.9305584010012,5.29458507726192
12.43,15.9592061336955,2.86477326942609
12.44,16.0242808359456,6.50747022500864
12.45,16.078186484324,5.39056483784299
12.46,16.1340480631558,5.58615788318106
12.47,16.212372264033,7.83242008772388
12.48,16.2717463847259,5.9374120692835
12.49,16.3406143029134,6.88679181875765
12.5,16.399268935219,5.86546323055557
12.51,16.4811811080157,8.19121727967504
12.52,16.5534375731722,7.22564651564834
12.53,16.6601310728323,10.6693499660028
12.54,16.7239699931696,6.38389203373159
12.55,16.7423634149705,1.839342180098
12.56,16.7423634149705,0
12.57,16.7423634149705,0
12.58,16.7423634149705,0
12.59,16.7423634149705,0
12.6,16.7423634149705,0
12.61,16.7423634149705,0
12.62,16.7423634149705,0
12.63,16.7423634149705,0
12.64,16.7423634149705,0
12.65,16.7423634149705,0
12.66,16.7423634149705,0
12.67,16.7423634149705,0
12.68,16.7440389310525,0.167551608191378
12.69,16.760516787258,1.64778562055301
12.7,16.7767177392982,1.62009520402439
12.71,16.7767177392982,0
12.72,16.7767177392982,0
12.73,16.7929965710015,1.6278831703254
12.74,16.7970260665413,0.402949553984665
12.75,16.807439037079,1.04129705376262
12.76,16.833734370327,2.62953332479945
12.77,16.8502122265325,1.64778562055301
12.78,16.8860796373866,3.58674108540748
12.79,16.9053130322608,1.92333948741959
12.8,16.9507616405549,4.54486082941845
12.81,16.9923340630308,4.15724224758353
12.82,17.0286443178118,3.63102547810685
12.83,17.0738109317229,4.51666139110511
12.84,17.1294734860524,5.56625543295346
12.85,17.1987429634507,6.92694773983095
12.86,17.3042725507848,10.5529587334089
12.87,17.3853491805729,8.10766297880525
12.88,17.4625161393537,7.7166958780806
12.89,17.5564823937227,9.39662543690632
12.9,17.6692804837553,11.2798090032526
12.91,17.7371520093903,6.78715256350112
12.92,17.7861881891556,4.90361797653674
12.93,17.7942471802353,0.805899107969329
12.94,17.7942471802353,0
12.95,17.7942471802353,0
12.96,17.7942471802353,0
12.97,17.7942471802353,0
12.98,17.7942471802353,0
12.99,17.7942471802353,0
13,17.7942471802353,0
13.01,17.7942471802353,0
13.02,17.7942471802353,0
13.03,17.7942471802353,0
13.04,17.7959226963172,0.167551608191378
13.05,17.8033032240209,0.738052770367421
13.06,17.8167486373925,1.34454133715781
13.07,17.8207781329323,0.402949553984665
13.08,17.8271616079301,0.638347499777951
13.09,17.831869566846,0.470795891586573
13.1,17.8436394641356,1.17698972896643
13.11,17.8561288498126,1.24893856769435
13.12,17.8799459490055,2.38170991929435
13.13,17.8846539079214,0.470795891586573
13.14,17.9038873027956,1.92333948741959
13.15,17.931497617926,2.76103151304354
13.16,17.9592694427537,2.77718248276322
13.17,17.9897131762158,3.04437334621113
13.18,18.0355970886146,4.58839123988153
13.19,18.082799752807,4.72026641924377
13.2,18.1430841864137,6.0284433606698
13.21,18.1739669938916,3.08828074779236
13.22,18.2506125689291,7.66455750374729
13.23,18.2877627967834,3.71502278542843
13.24,18.3646484213344,7.68856245510091
13.25,18.4415744107433,7.69259894089399
13.26,18.5187413695241,7.7166958780806
13.27,18.6204906306659,10.1749261141807
13.28,18.7332856109406,11.2794980274674
13.29,18.8282880128323,9.50024018917036
13.3,18.8569373255382,2.86493127059273
13.31,18.863999263912,0.70619383737986
13.32,18.863999263912,0
13.33,18.863999263912,0
13.34,18.863999263912,0
13.35,18.863999263912,0
13.36,18.863999263912,0
13.37,18.863999263912,0
13.38,18.863999263912,0
13.39,18.863999263912,0
13.4,18.863999263912,0
13.41,18.863999263912,0
13.42,18.863999263912,0
13.43,18.8673502960759,0.335103216382756
13.44,18.8791201933655,1.17698972896643
13.45,18.8896946736004,1.05744802348229
13.46,18.8991105914321,0.941591783173146
13.47,18.900786107514,0.167551608191378
13.48,18.9163864758412,1.56003683272349
13.49,18.9210944347571,0.470795891586573
13.5,18.9354583610182,1.43639262611334
13.51,18.9505007506554,1.50423896371525
13.52,18.9759185960251,2.54178453696993
13.53,19.0083983797686,3.24797837434979
13.54,19.061703184729,5.33048049604203
13.55,19.1114175681654,4.97143834363859
13.56,19.1611319516018,4.97143834363859
13.57,19.2115250581192,5.03931065174056
13.58,19.2799088476635,6.83837895443221
13.59,19.3303429791922,5.04341315286657
13.6,19.3972136822101,6.6870703017935
13.61,19.4979993758349,10.078569362481
13.62,19.5757208030996,7.77214272647076
13.63,19.6446688411152,6.89480380155823
13.64,19.7215544656662,7.68856245510091
13.65,19.8186317026856,9.70772370193546
13.66,19.8632372281487,4.46055254631165
13.67,19.8795160598519,1.6278831703254
13.68,19.8858995348497,0.638347499777951
13.69,19.8882535143076,0.235397945793287
13.7,19.8882535143076,0
13.71,19.8882535143076,0
13.72,19.8882535143076,0
13.73,19.8882535143076,0
13.74,19.8882535143076,0
13.75,19.8882535143076,0
13.76,19.8882535143076,0
13.77,19.8882535143076,0
13.78,19.8882535143076,0
13.79,19.8899290303895,0.167551608191378
13.8,19.8916045464715,0.167551608191378
13.81,19.905049959843,1.34454133715781
