time,Fx,Fy,Fz
1.2,2.8903141773323,-49.7235841829573,-176.355515493812
1.21,3.4684712250883,-47.5383796546693,-161.141729298023
1.22,2.06387514324302,-41.8424843951488,-140.575162554098
1.23,0.574528171346986,-40.1250869156069,-146.455191178104
1.24,3.82170754821057,-48.8644848500037,-179.684160308637
1.25,1.20500493000953,-45.2900778952177,-173.382080604583
1.26,1.50521922338641,-40.9782143339235,-146.990342511787
1.27,-0.470611839144427,-45.6528028707101,-152.222709837451
1.28,4.06862336960107,-31.7642967205015,-125.214941892846
1.29,3.16310610465336,-22.6108942919379,-101.105099286666
1.3,1.67484761519208,-44.3577504341086,-162.290886523838
1.31,2.48245577938597,-48.7728087449405,-186.763614983686
1.32,6.36649261055102,-46.9172228295865,-182.266124024822
1.33,2.15042011729837,-38.5959780955292,-148.122056889238
1.34,3.1967436819364,-40.1213043128587,-148.894755298344
1.35,1.87065660597432,-37.0666006842144,-140.906216507098
1.36,2.987557139075,-42.6841091447165,-152.290231745614
1.37,3.68238367310951,-40.6043163834314,-160.923119572426
1.38,2.37801443525468,-42.2864228774138,-173.481110518907
1.39,4.83143605818959,-42.2679430235414,-147.741690565216
1.4,4.08582860642109,-41.9380283455981,-171.562706234309
1.41,3.94079193142221,-35.8510137226672,-140.715552992789
1.42,2.05010470524262,-43.3736822992497,-165.803852384149
1.43,5.46727778578304,-36.4424630425163,-144.814639296928
1.44,3.1323469351138,-39.9096022138955,-157.841632392294
1.45,3.43590366200144,-37.9192785125838,-151.694638845434
1.46,2.04195770587754,-37.040327020828,-156.697775600037
1.47,4.05188523314509,-37.930276632893,-148.285695108056
1.48,3.60499060946381,-36.5824486658118,-148.953285344519
1.49,4.47003315459639,-34.5936318359054,-157.829652157035
1.5,3.67192506039781,-39.4567169463741,-157.843087977672
1.51,1.85975293147379,-39.2211217391444,-145.320443284026
1.52,3.8224930408435,-33.5525258108073,-144.412826058877
1.53,2.5246433526266,-38.6060764999203,-158.971074234435
1.54,3.73462274362547,-36.8499731789165,-152.511378138495
1.55,2.43202804575872,-35.1838450365771,-148.030319025575
1.56,3.78365896473482,-27.4565205538463,-123.306591550201
1.57,2.63173796108835,-18.6979885981223,-96.9468405546666
1.58,2.27270941530364,-39.5034610135553,-161.002696815767
1.59,0.262650107215937,-41.1480101709408,-186.201861821087
1.6,2.39543784241729,-36.5822985867718,-159.915902447581
1.61,0.978695986295267,-36.1341728470158,-161.359071265312
1.62,4.17741696617156,-35.4528045242451,-148.716758339404
1.63,2.85274977810115,-31.529475870636,-137.028354434907
1.64,1.53812842641629,-33.92846455422,-145.818754108207
1.65,2.49342919966636,-32.6876553199771,-139.988802849085
