time,Fx,Fy,Fz,Mx,My,Mz
10.79,-10.2323109795862,963.386151938677,227.834593101409,-61.0359852931212,-1.1215674552865,0.146830212154748
10.8,-1.25037197644701,828.881666419887,142.312578028657,-50.4042705799605,1.35509450561049,1.00531371727003
10.81,-1.7854345337745,667.658309563553,69.0999078456938,-39.7933120702681,2.45811615526073,-1.1017767801485
10.82,-7.63708158722264,479.749147142927,-35.8642670161359,-27.2443456972027,0.270825487290456,-1.65174402798868
10.83,-5.41756026316788,405.614110443358,-82.1133605188787,-25.0040988221443,-1.89723358797639,2.86376116920959
10.84,-7.02588607321779,369.808082969485,-109.875923212784,-24.3920507554732,-0.94147420955298,2.91280058956896
10.85,-4.63348046419649,379.890027485849,-120.733329950725,-25.4118491837187,0.202047011944348,2.0937262363433
10.86,7.65898559916694,394.719491670075,-122.091885750325,-26.7275288723212,1.32102926809574,1.79842896838321
10.87,3.28320828171134,415.778758862974,-116.922015085501,-28.9183520375016,1.82813006619584,0.211764315233396
10.88,-1.36753643343933,474.612529728304,-98.4668757443352,-33.4067752721509,1.15371748513079,0.400705627059352
10.89,4.38387543144657,501.953482665387,-85.3025913714802,-34.2578409830074,0.978182051885976,-0.43538101485349
10.9,14.5185331080498,506.204204493754,-71.1709645489017,-33.3179628829284,1.4319936588636,0.416044615548634
10.91,10.2195580899505,555.195082559201,-46.6280993046374,-36.341458092899,0.123548497916456,2.85075651717533
10.92,11.0899860630728,615.535820174829,-32.4043917999475,-40.0667137605998,0.383068799653525,3.74322008599629
10.93,7.96231990283328,699.453943332979,-11.1380349720792,-44.6422045431757,1.04451946547616,2.96188536789462
10.94,-9.88950361944682,810.063772582111,-13.9595263745993,-50.8882396893886,1.41462596672975,0.295091869494141
10.95,-13.6122554072136,879.255199175759,-21.5953913484746,-52.91688864936,2.16550969622115,2.53799559255549
10.96,-26.4616951600988,953.305320239253,-26.7393388127236,-54.9446700613677,1.95657334664583,0.770561961796206
